entity_id,name_en,name_ru,name_ar,name_zh,name_ja,name_he,name_hi,name_el,name_ko
Q10000001,Tatyana Kolotilshchikova,Татьяна Колотильщикова,,,タティアナ・コロティルシチコワ,,,Τατιάνα Κολατσίτσκοβα,
Q1000002,Claus Hammel,,,C. 哈梅尔,,,,Κλάους Χάμμελ,
Q10000029,Nikolai Yuryev,Николай Петрович Юрьев,,,,,,,
Q1000005,Karel Matěj Čapek-Chod,Карел Матей Чапек-Ход,,,,קרל מאטיי צ'אפק-חוד,,,
Q1000006,Florian Eichinger,Флориан Эйчингер,,弗洛里安·艾辛格,,,,,
Q100000811,Paul Mohr,,,,,,,,
Q100000812,Franciscus Zilken,,,,,,,,
Q100000814,Walther Reichardt,,,,,,,,
Q100000817,Michael Flemisch,,,,,,,,
Q100000831,Otto Kramer,,,,,,,,
Q100000832,Marie Madeleine Lebreton,,,,,,,,
Q100000852,Petrus de Godis,,,,,,,,
Q100000854,Diego de la Torre,,,,,,,,
Q100000857,Laurent Rondet,,,,,,,,
Q100000878,Ernest Ofenloch,,,,,,,,
Q100000889,Charles Roberts,,,,,,,,
Q100000904,Hermann Rudolf Ziegler,,,,,,,,
Q10000101,Eliška Hladilová,,,,,,,,
Q10000102,Jakub Scherz,,,,,,,,
Q100001260,Henk Rigters,,,,,,,,
Q1000015,Florian Jahr,Флориан Яр,,,フロリアン・ヤール,,,,플로리안 자르
Q1000023,Wiltraut Rupp-von Brünneck,Вильтраут Рупп фон Брюннек,,,,,,,
Q1000026,Gillett Griffin,,,,,,,,
Q1000034,Joseph Dienger,Иосиф Дингер,,,,,,,
Q10000406,Mohammad Ali al-Haddad,Мохаммед Али Ахмед Аль-Хаддад,محمد علي أحمد الحداد,,,,,,
Q1000044,Sylvia Bayr-Klimpfinger,,,,,,,,
Q1000045,Eugen Karl Brammertz,Ойген Браммерц,,,,,,,
Q1000048,Franz Zimmermann,Франц Циммерман,,,,,,,
Q10000481,Willi Leimer,,,,,,,,
